Artwork Title,Image Path,Associated Religion,Reasoning for Religious Attribution
Predella of the Barbadori altarpiece,images/img_0.jpg,Christianity (Catholic),"Altarpieces, predellas (lower panels of altarpieces), and triptychs are liturgical artworks specifically created for Catholic church altars. They served devotional and didactic purposes in Christian worship spaces."
Judith,images/img_1.jpg,Christianity (also Judaism),"Judith is a biblical heroine from the deuterocanonical Book of Judith in the Old Testament. The story is part of Catholic and Orthodox Christian canon, and also appears in Jewish tradition. The subject was popular in Christian art during the Renaissance and Baroque periods."
Judith,images/img_2.jpg,Christianity (also Judaism),"Judith is a biblical heroine from the deuterocanonical Book of Judith in the Old Testament. The story is part of Catholic and Orthodox Christian canon, and also appears in Jewish tradition. The subject was popular in Christian art during the Renaissance and Baroque periods."
Die durch Engel bekrönte Muttergottes mit Kind im Kreise der 14 Schutzheiligen des Hauses Zimmern,images/img_3.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Der kniende Stifter Graf Gottfried Werner von Zimmern – Christus am Ölberg,images/img_5.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
Die kniende Stifterin Gräfin Apollonia von Henneberg – Christus am Ölberg,images/img_7.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
Christi Abschied von seiner Mutter,images/img_8.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
The capture of Christ,images/img_9.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
Madonna/Virgin and Child with the Infant St John the Baptist.,images/img_10.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Sant'Orsola in gloria,images/img_11.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
